sut,workload,task_id,metric,value
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1,runtime,79.06105814377466
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1,success,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1,llm_code_eval,"""[false, false, false]"""
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1,total_token_usage_pipeline,1218
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-1,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-1,success,1
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-2,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-2,f1,0.14375
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-2,precision,0.38461538461538464
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-2,recall,1.0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-3,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-3,f1_approximate,0.0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-3,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-4,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-4,f1_approximate,0.0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-4,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-5,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-5,success,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-1-5,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2,runtime,85.86079821983972
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2,success,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2,llm_code_eval,"""[true, true, true, true]"""
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2,total_token_usage_pipeline,1053
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2-1,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2-1,f1,0.30012610340479196
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2-1,precision,0.0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2-1,recall,0.0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2-2,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2-2,success,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2-3,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2-3,success,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2-3,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2-4,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2-4,success,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-2-4,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3,runtime,226.27141247193018
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3,success,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3,llm_code_eval,"""[false, false, false, false, false, false]"""
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3,total_token_usage_pipeline,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3-1,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3-1,success,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3-1,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3-2,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3-2,f1,0.27367748319795493
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3-2,precision,0.16666666666666666
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3-2,recall,0.0013550135501355014
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3-2,total_token_usage_answers,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3-3,runtime,0
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3-3,f1,0.13358743143999255
BaselineLLMSystemQwen2_5CoderOneShot,astronomy.json,astronomy-easy-3-3,precision,0.0
